Name,Class,Roll No,Course,Sub1,Sub2,Sub3,Sub4,Sub5
Michael Williams,5,353,Data Science,15,22,98,49,20
Stephanie Wood,1,691,Web Development,53,70,91,32,96
Justin King,4,478,Web Development,99,72,83,68,30
John Baker,3,569,Video Production,55,93,93,29,12
Rebecca Schultz,6,731,Video Production,22,85,19,35,23
Amy Salinas,4,176,Python Programming,11,80,41,91,47
Joseph Smith,2,344,Data Science,11,47,14,77,0
Beverly Hoover,5,735,Data Science,73,38,1,22,70
Thomas White,11,982,Python Programming,54,58,8,11,32
Mr. Ronald Smith MD,7,422,Video Production,30,6,28,27,90
Maria Ponce,11,742,Data Science,13,82,48,79,87
Amy Murphy,9,18,Data Science,70,88,66,0,3
David White,2,759,Python Programming,78,91,36,93,65
Alejandro Fowler,4,254,Python Programming,99,76,21,70,35
Elizabeth Clark,9,981,Data Science,12,39,87,68,93
William Jackson,1,289,Video Production,73,71,88,0,59
Emily Chandler,1,846,Web Development,9,5,21,32,1
Michael Hawkins,6,174,Python Programming,21,73,95,93,14
Dr. Paul Lozano,8,82,Graphic Design,91,7,49,19,82
Amber Mercer DDS,12,58,Graphic Design,99,42,49,56,36
Kim Johnson,10,38,Video Production,43,31,17,23,85
Chloe Moss,5,986,Graphic Design,10,82,68,40,16
Robert Montgomery,1,657,Data Science,32,89,54,32,32
Ashley Cruz,12,36,Python Programming,52,17,68,13,100
Amy Bush,5,420,Data Science,79,30,25,1,75
Matthew Byrd,9,866,Graphic Design,80,20,59,78,33
Ashley Reid,5,114,Data Science,71,72,48,31,29
Diane Jensen,1,48,Video Production,98,84,8,88,52
Erik Williams,10,215,Data Science,66,52,54,64,49
Monica Garcia,4,624,Data Science,73,72,0,16,56
Kaylee Mccoy,1,144,Data Science,92,22,17,54,8
Oscar Mcdonald,9,149,Web Development,53,91,75,0,23
Todd Sanchez,11,484,Video Production,18,20,78,3,37
Terri Edwards,7,521,Data Science,74,22,75,13,91
Steven Davis,8,408,Video Production,68,19,94,79,51
Brian Scott,10,115,Web Development,5,27,85,47,40
